Phylum	RecA	SSB	RecJ	RecQ	RecF	RecO	RecR	RecB	RecC	RecD	AddA	AddB	AdnA	AdnB	Proteomes
Acidobacteriota	20	20	19	18	2	20	20	1	2	17	19	17	0	0	20
Actinomycetota	1372	1385	60	1378	1370	1360	1383	277	279	927	72	39	1295	1299	1389
Aquificota	16	16	10	15	3	6	16	0	0	0	7	2	0	0	16
Bacillota	1424	1442	1437	1392	1439	1413	1442	0	0	1253	1415	1386	0	1	1445
Bacteroidota	853	850	846	858	851	827	853	23	23	605	772	768	0	0	859
Chlamydiota	15	15	13	4	14	15	15	15	15	15	0	0	0	0	15
Chlorobiota	11	11	11	11	11	11	11	9	9	10	1	0	0	0	11
Chloroflexota	26	26	26	22	22	26	26	0	0	13	4	4	1	0	26
Cyanobacteriota	101	95	101	102	100	100	101	3	4	48	10	8	0	0	102
Deferribacterota	6	6	6	6	6	4	6	3	3	4	4	4	0	0	6
Deinococcota	57	58	56	58	55	48	58	0	0	41	34	26	0	0	58
Fusobacteriota	31	31	31	30	31	30	31	0	1	3	29	1	0	0	31
Mycoplasmatota	123	123	0	67	6	64	116	0	0	106	5	1	0	0	129
Nitrospirota	7	7	7	3	0	7	7	1	1	5	6	6	0	0	7
Other	28	28	24	23	24	22	28	9	10	11	11	10	0	0	28
Planctomycetota	75	75	74	72	1	61	61	2	2	25	70	60	0	0	75
Pseudomonadota	2820	2859	2832	2825	2196	2716	2829	1461	1462	2170	1398	1304	2	0	2869
Spirochaetota	84	87	87	55	73	61	73	17	47	50	36	27	0	0	87
Synergistota	12	12	12	12	12	8	12	0	0	5	11	6	0	0	12
Thermodesulfobacteriota	8	8	8	4	0	8	8	0	0	0	8	8	0	0	8
Thermotogota	33	33	33	22	5	0	0	0	0	3	23	23	0	0	33
Verrucomicrobiota	23	23	21	21	21	17	23	2	2	13	20	16	0	0	23
