ProteinFamily	numProteinsPerFamily_preFilter	numProteinsPerFamily_postFilter	numGenomesPerFamily	pctGenomesPerFamily
RecA	13136	7317	7145	98.6
SSB	14179	11924	7210	99.5
RecJ	6909	6003	5714	78.8
RecQ	71410	35581	6998	96.5
RecF	63482	6290	6242	86.1
RecO	7114	6828	6824	94.1
RecR	8798	7128	7119	98.2
RecB	27848	1855	1823	25.1
RecC	2552	1880	1860	25.7
RecD	29748	7200	5324	73.4
AddA	35883	4175	3955	54.6
AddB	11043	3772	3716	51.3
AdnA	40198	1339	1298	17.9
AdnB	32001	1320	1300	17.9
Total	364301	102612	7249	100
