PhylumRenamed	AddAB	AddABJ	AdnAB	RecBCD	RecFOR	RecOR
Acidobacteriota	0.8	0	0	0.05	0	0
Actinomycetota	0.0223182145428366	0	0.907127429805616	0.19150467962563	0.0287976961843053	0.00215982721382289
Aquificota	0.0625	0	0	0	0	0.0625
Bacillota	0.926643598615917	0.0463667820069204	0	0	0.0221453287197232	0
Bacteroidota	0.59720605355064	0.039580908032596	0	0.0267753201396973	0.010477299185099	0
Chlamydiota	0	0	0	0.2	0	0
Chlorobiota	0	0	0	0.818181818181818	0	0
Chloroflexota	0.153846153846154	0	0	0	0	0.153846153846154
Cyanobacteriota	0.0686274509803922	0.00980392156862745	0	0.0294117647058824	0.0294117647058824	0
Deferribacterota	0.666666666666667	0	0	0.5	0	0
Deinococcota	0.431034482758621	0.0689655172413793	0	0	0.0517241379310345	0
Fusobacteriota	0.032258064516129	0	0	0	0.032258064516129	0
Mycoplasmatota	0.00775193798449612	0	0	0	0.00775193798449612	0.00775193798449612
Nitrospirota	0.857142857142857	0	0	0	0	0
Other	0.25	0	0	0.285714285714286	0.0357142857142857	0
Planctomycetota	0.733333333333333	0.0133333333333333	0	0.0266666666666667	0	0.0133333333333333
Pseudomonadota	0.402230742418961	0.0177762286510979	0	0.448936911815964	0.00627396305332869	0.0108051585918438
Spirochaetota	0.252873563218391	0.0114942528735632	0	0.195402298850575	0.0229885057471264	0
Synergistota	0.5	0	0	0	0	0
Thermodesulfobacteriota	0.5	0	0	0	0	0.125
Thermotogota	0.545454545454545	0.0303030303030303	0	0	0	0
Verrucomicrobiota	0.391304347826087	0	0	0.0869565217391304	0	0
