PhylumRenamed	AddAB	AddABJ	AdnAB	RecBCD	RecFOR	RecOR	Proteomes
Acidobacteriota	16	0	0	1	0	0	20
Actinomycetota	31	0	1260	266	40	3	1389
Aquificota	1	0	0	0	0	1	16
Bacillota	1339	67	0	0	32	0	1445
Bacteroidota	513	34	0	23	9	0	859
Chlamydiota	0	0	0	3	0	0	15
Chlorobiota	0	0	0	9	0	0	11
Chloroflexota	4	0	0	0	0	4	26
Cyanobacteriota	7	1	0	3	3	0	102
Deferribacterota	4	0	0	3	0	0	6
Deinococcota	25	4	0	0	3	0	58
Fusobacteriota	1	0	0	0	1	0	31
Mycoplasmatota	1	0	0	0	1	1	129
Nitrospirota	6	0	0	0	0	0	7
Other	7	0	0	8	1	0	28
Planctomycetota	55	1	0	2	0	1	75
Pseudomonadota	1154	51	0	1288	18	31	2869
Spirochaetota	22	1	0	17	2	0	87
Synergistota	6	0	0	0	0	0	12
Thermodesulfobacteriota	4	0	0	0	0	1	8
Thermotogota	18	1	0	0	0	0	33
Verrucomicrobiota	9	0	0	2	0	0	23
