RecA (7145)	SSBa (7210)	RecJ (5714)	RecQ (6998)	RecF (6242)	RecO (6824)	RecR (7119)	RecB (1823)	RecC (1860)	RecD (5324)	AddA (3955)	AddB (3716)	AdnA (1298)	AdnB (1300)	S1A (46)	S1B (56)	SPARTA (60)	S2B (101)	LongA (83)	LongB (121)	Schlafen (9)	Any (445)
NA	3.35162489095708e-06	0.00795233245698257	0.449868268890393	0.000336112056172677	5.51176501328854e-07	0	0.38137857159969	0.329228056847609	0.717566695114776	0.0017896101567505	0.0149706338436018	0.350830457526965	0.495002295425987	0.672373439656998	0.364822348798619	0.214328490635108	0.705201145961522	0.0930550433910899	0.570513665478711	0.717274117894921	0.506246105391769
3.35162489095708e-06	NA	0.00234305457799255	0.0199696408669965	8.83541160456858e-07	8.88178419700125e-16	0	0.00111353517028956	0.00092679633308812	1.24987069582971e-08	0.680283845504082	0.336524834726713	0.0369009401333888	0.0946232612522118	0.61684416509435	0.580658032767726	0.567340644330269	0.456739040334904	0.403640128107882	0.414653292835553	0.825294692775063	0.351138596552526
0.00795233245698257	0.00234305457799255	NA	9.27406014781251e-05	0.00196421636053845	0.0101544039041941	0.452035166414147	1.88243420851109e-10	1.19944054688403e-11	3.33674379726645e-06	0	0	0	0	0.000419634937838476	0.00986791405118836	5.50583014340411e-05	0.406188982236393	8.14781963758282e-05	2.90808227885186e-05	0.459685922629638	8.26005930321116e-14
0.449868268890393	0.0199696408669965	9.27406014781251e-05	NA	0	0	0	1.0502709812954e-13	2.91964986656179e-05	2.66926790892796e-07	0.0396852962798984	2.66352655700075e-05	2.05493400073919e-11	6.09126082906641e-11	0.197596019193981	0.15485162958694	0.140764586777986	0.0552853965361511	0.199264514750861	0.0356567019344312	0.569748477863698	0.0053391852146607
0.000336112056172677	8.83541160456858e-07	0.00196421636053845	0	NA	0	0	1.95085983900611e-06	9.31285200067578e-08	0	0.00879375113230019	1.27327033243585e-05	0	0	0.8675166341972	0.10163471512592	0.381535074927873	0.765315190684137	0.880766987357572	0.202475438605564	0.227985134534781	0.79711304264323
5.51176501328854e-07	8.88178419700125e-16	0.0101544039041941	0	0	NA	0	2.8421709430404e-14	3.69078261286404e-08	0	0.474538494773169	0.774520935653973	2.51580978272159e-11	5.64392976798445e-11	0.848693721901309	0.0608346222799825	0.0522520966765523	0.0115427260684644	0.00394230345509339	0.11014967330799	0.453838842982678	0.0583440820054051
0	0	0.452035166414147	0	0	0	NA	2.41146163217909e-05	0.0579765963654899	1.11022302462516e-14	0.869143091997621	0.239710900991726	2.81937818202849e-06	2.37077846516609e-05	0.357934317511061	0.996551467399154	0.293279102562951	0.171473148146395	0.00348345689850404	0.133903006564919	0.685048320810407	0.465349708747813
0.38137857159969	0.00111353517028956	1.88243420851109e-10	1.0502709812954e-13	1.95085983900611e-06	2.8421709430404e-14	2.41146163217909e-05	NA	0	0	0	0	9.33560629245989e-07	6.37752656462709e-06	0.381345406980766	0.73776253539598	0.00660822312413578	0.000879678631547698	1.74387479372484e-05	4.00491159795457e-05	0.0818831743637649	6.0151883474191e-12
0.329228056847609	0.00092679633308812	1.19944054688403e-11	2.91964986656179e-05	9.31285200067578e-08	3.69078261286404e-08	0.0579765963654899	0	NA	0	0	0	9.36764537051715e-08	1.51510108614694e-06	0.342545507972163	0.466919352989837	0.00528740929509564	0.000619712675876238	1.21843459419679e-05	6.34354291824124e-05	0.0778232937477539	1.34692257347524e-12
0.717566695114776	1.24987069582971e-08	3.33674379726645e-06	2.66926790892796e-07	0	0	1.11022302462516e-14	0	0	NA	0	0	1.52981675305419e-05	7.01553427795432e-06	0.68398912164982	0.7913661970928	0.0749533518450103	0.967597974815655	0.215156658305159	0.223229276421948	0.00639707113527876	0.0280282403294367
