RecA (7145)	SSBa (7210)	RecJ (5714)	RecQ (6998)	RecF (6242)	RecO (6824)	RecR (7119)	RecB (1823)	RecC (1860)	RecD (5324)	AddA (3955)	AddB (3716)	AdnA (1298)	AdnB (1300)	S1A (46)	S1B (56)	SPARTA (60)	S2B (101)	LongA (83)	LongB (121)	Schlafen (9)	Any (445)
RecA (7145)	1	0.0545605484248132	0.0311706219848684	0.00887644704870314	0.0421039775727996	0.0587744323145788	0.0973343321415892	-0.0102827812862425	-0.0114610527119337	-0.00424910744795687	0.0366753851846911	0.0285762407929802	0.0109596073912522	0.00801588620477335	-0.00496779326289855	0.0106452174312348	-0.0145863699860282	0.00444406341870766	-0.0197275458129629	0.00666407854054813	0.00425370653759987	-0.0078082034282122
SSBa (7210)	0.0545605484248132	1	0.0357343329695031	0.027329757029535	0.0577007012016339	0.0940264513315811	0.132162315729585	0.0382837201469437	0.0388904367618231	0.0667997594544018	0.00484072539272017	0.011289376763179	0.0245111437160798	0.0196336015862797	0.00587742207236187	0.00648938670207834	0.00671902186761616	0.00874244857006119	-0.009810328281953	0.00958238268080929	0.00259308434214317	0.0109525993186266
RecJ (5714)	0.0311706219848684	0.0357343329695031	1	0.045893881293666	-0.0363526226888164	0.0301897107865304	0.00883406275806287	0.0747327523521076	0.0795233942261472	0.054571308658928	0.51910491483259	0.502509568086508	-0.888739905119944	-0.891353137053689	0.041419636227542	0.0303058958354332	0.0473505965940823	0.00975724695513302	0.0462594675431652	0.0490802982485389	0.00868532417008441	0.0875372905801902
RecQ (6998)	0.00887644704870314	0.027329757029535	0.045893881293666	1	0.207541519750983	0.299604464580274	0.167716511113735	0.0871668539990713	0.049069712767199	0.060389285562982	0.0241606597129158	0.049313997006407	0.0786089359577617	0.0767310478037159	0.0151346401758637	0.0167104780784484	0.0173017995046366	0.0225122190876959	-0.0150784854904393	0.0246750891999831	0.00667731498279697	0.0327169836028314
RecF (6242)	0.0421039775727996	0.0577007012016339	-0.0363526226888164	0.207541519750983	1	0.303840368798782	0.252286625520643	-0.0558550077655911	-0.0626644480816948	0.0998785350713734	0.0307701295445074	0.0512389012746913	0.169898224450286	0.172164278072642	0.00195959879828046	-0.0192282159569622	0.0102794020380932	0.00350663873313627	-0.00176204935170992	0.0149713780203575	0.0141613554832777	0.00302003411226833
RecO (6824)	0.0587744323145788	0.0940264513315811	0.0301897107865304	0.299604464580274	0.303840368798782	1	0.4308687125109	0.0891633129542094	0.0646015074359906	0.110544641237514	-0.00840046983557068	0.00336517992885653	0.0782625499694667	0.0768643163572941	-0.00224119920419612	0.0220198288611799	0.0227990283876976	0.0296649329402357	-0.033854554814691	0.0187648080263919	0.00879887053399216	0.022235994487003
RecR (7119)	0.0973343321415892	0.132162315729585	0.00883406275806287	0.167716511113735	0.252286625520643	0.4308687125109	1	0.0495772745120593	0.0222685358224736	0.0905680449335263	0.00193532122266646	0.0138106857038495	0.0549772686389226	0.0496222044570786	0.0107990210603085	5.07728424588029e-05	0.0123453544359631	0.0160631455533387	-0.0343095072377515	0.0176064184439986	0.00476446511364929	0.00857610558236266
RecB (1823)	-0.0102827812862425	0.0382837201469437	0.0747327523521076	0.0871668539990713	-0.0558550077655911	0.0891633129542094	0.0495772745120593	1	0.976430531134458	0.339178192278527	-0.607036138756444	-0.582369496879686	-0.0575741753049935	-0.0529835828923247	-0.0102834974919437	-0.00393316987969532	-0.0318970152395897	-0.039061394818648	-0.0504268617446327	-0.0482201537639291	-0.0204364478439419	-0.0806808995879947
RecC (1860)	-0.0114610527119337	0.0388904367618231	0.0795233942261472	0.049069712767199	-0.0626644480816948	0.0646015074359906	0.0222685358224736	0.976430531134458	1	0.34182011592243	-0.614564599104144	-0.590509401309186	-0.062651989453354	-0.0564501722550202	-0.0111495192886988	-0.00854596819597602	-0.032754045135518	-0.0401926398048996	-0.0513516152288879	-0.0469589655285902	-0.0207135411730077	-0.0831368766132757
RecD (5324)	-0.00424910744795687	0.0667997594544018	0.054571308658928	0.060389285562982	0.0998785350713734	0.110544641237514	0.0905680449335263	0.339178192278527	0.34182011592243	1	-0.177372950697979	-0.133237031372068	-0.0507664328708439	-0.052746152858035	0.00478140121634803	0.00310757159848763	-0.0209166060873948	-0.000477185615178289	-0.0145600509461504	-0.0143072424329024	-0.0320230135452318	-0.0258031084650159
AddA (3955)	0.0366753851846911	0.00484072539272017	0.51910491483259	0.0241606597129158	0.0307701295445074	-0.00840046983557068	0.00193532122266646	-0.607036138756444	-0.614564599104144	-0.177372950697979	1	0.918771333030416	-0.492957094015233	-0.494892955661561	0.0380402443604343	0.0362225381025247	0.0527941674563886	0.0281164388247898	-0.00855248226961344	0.0540276988656487	-0.0228978720214591	0.0752668986668868
AddB (3716)	0.0285762407929802	0.011289376763179	0.502509568086508	0.049313997006407	0.0512389012746913	0.00336517992885653	0.0138106857038495	-0.582369496879686	-0.590509401309186	-0.133237031372068	0.918771333030416	1	-0.466732818376604	-0.468628426527003	0.0396894317571242	0.0355987088093886	0.0586169930198008	0.0311397819458563	-0.00401482877856054	0.0645680335600869	-0.0204841205858301	0.0860973157748869
AdnA (1298)	0.0109596073912522	0.0245111437160798	-0.888739905119944	0.0786089359577617	0.169898224450286	0.0782625499694667	0.0549772686389226	-0.0575741753049935	-0.062651989453354	-0.0507664328708439	-0.492957094015233	-0.466732818376604	1	0.972801616514821	-0.037321971727861	-0.0247696893536647	-0.0426661793375814	-0.000260852757463754	-0.0502623760796773	-0.0411894214141809	-0.0164662362705792	-0.0759681708442233
