RecA (998)	SSBa (1008)	RecJ (832)	RecQ (953)	RecF (801)	RecO (916)	RecR (986)	RecB (266)	RecC (265)	RecD (704)	AddA (548)	AddB (486)	AdnA (144)	AdnB (141)	I-A (14)	I-B (226)	I-C (192)	I-D (28)	I-E (253)	I-F (127)	I-G (55)	I (1)	III-A (108)	III-B (112)	III-C (27)	III-D (80)	III-F (2)	III (1)	IV-A (6)	IV-B (3)	IV-C (0)	IV-D (3)	IV-E (0)	IV (1)	II-A (94)	II-B (2)	II-C (123)	V-A (7)	V-B (1)	V-F (2)	V-K (7)	VI-A (6)	VI-B (10)	VI-C (1)	VI-D (1)	Cluster (83)
NA	0.000575632279033123	0.115415623925673	0.902284078284272	0.466814253957274	0.167190812296541	0.518949368074822	0.252173068960345	0.255238436960495	0.74535758575195	0.6442995186832	0.676016965970687	0.518503483358598	0.493521798973853	0.644530626425672	0.301999449617323	0.576236629900976	0.511092903573541	0.451700116565851	0.489588867273954	0.831488972916972	0.90249772683704	0.735807007045809	0.266211509525502	0.518949368074816	0.858852805272667	0.862386568048517	0.90249772683704	0.763545179321391	0.831795435938963	NA	0.831795435938963	NA	0.90249772683704	0.725629438277304	0.862386568048517	0.886976103105692	0.745109376773068	0.90249772683704	0.862386568048517	0.745109376773068	0.763545179321391	0.697166967528931	0.90249772683704	0.90249772683704	0.828243358320208
0.000575632279033123	NA	0.900826746780218	0.574248522931808	0.293745902225147	0.427620722594316	0.711014499245097	0.181359354692958	0.18247553560257	0.0159407350667307	0.790835925132262	0.58998172811974	0.362002264959885	0.367878889037669	0.79097849701133	0.901139427979254	0.278808954037119	0.0184213216415068	0.796922618950363	0.613834822774651	0.591627792426145	0.943893281504742	0.43921126864939	0.523088332191175	0.711014499245016	0.314930253819852	0.920679359031325	0.943893281504742	0.862795099191127	0.902884638304419	NA	0.902884638304419	NA	0.943893281504742	0.408022144500004	0.920679359031325	0.40515847859561	0.851851226714	0.943893281504742	0.920679359031325	0.851851226714	0.862795099191127	0.823106210999874	0.943893281504742	0.943893281504742	0.503552023394599
0.115415623925673	0.900826746780218	NA	0.428880372570359	0.236265497112569	0.227700480868108	0.0515628635901069	1.07805896958357e-05	5.07470253308107e-06	0.00488451310111415	0	0	0	0	0.0789959034941439	5.02935260549009e-07	2.01576605527443e-05	0.0452711093150306	0	2.57218195631737e-07	1.45439216225896e-13	0.0319658227160775	1.38715862245675e-05	2.65880307563915e-05	0.0515628635901086	0.0828590842482797	0.509558010021925	0.641144081121704	0.321756263295462	0.484230922078729	NA	0.418978577688324	NA	0.0319658227160775	0.36553884006941	0.509558010021925	5.74179301695565e-05	0.215991272847716	0.641144081121704	0.509558010021925	0.215991272847716	0.252272463702035	0.138537508553465	0.641144081121704	0.641144081121704	0.804161958864945
0.902284078284272	0.574248522931808	0.428880372570359	NA	7.54951656745106e-15	7.64113217144313e-11	2.24709140184132e-12	7.47374941356682e-06	7.9307834295328e-06	1.23930010520468e-06	0.680804060439441	0.834375285983835	0.0351037253609174	0.0396506548569877	0.845808970406347	2.53120635562709e-10	0.030477418038634	0.276521268857988	6.23703761446492e-05	0.00247258563322461	0.185149964960866	0.80201949055847	4.92263172446883e-07	0.00685804251334798	3.33066907387547e-15	0.897400358785019	0.00817903543159226	0.80201949055847	0.538064615099562	0.663759875551914	NA	0.663759875551914	NA	0.80201949055847	0.264934265805914	0.00817903543159226	0.907559384545348	0.347417618605151	0.80201949055847	0.722759813618709	0.50578276128141	0.538064615099562	0.425710265023893	0.80201949055847	0.80201949055847	0.0135909611291831
0.466814253957274	0.293745902225147	0.236265497112569	7.54951656745106e-15	NA	0	1.77635683940025e-15	0.101636979634445	0.0937837129145582	8.70385008353569e-05	0.677647272563398	0.377882453011418	1.45899825554352e-09	6.06965144811511e-10	0.538878592214233	0.0719738921572022	0.0330336411819085	0.022038337043004	0.00017967251637474	0.0772584750342176	0.607105821160896	0.607173471645286	0.177077490129367	0.106326334374064	6.78889356331425e-06	0.0535728022636199	0.312164264954176	0.607173471645286	0.454227875718257	0.0512022142059498	NA	0.597246034400219	NA	0.0518760094617738	0.930562837096595	0.312164264954176	0.00371623260090437	0.665022633994083	0.607173471645286	0.466937005765924	0.172314934029333	0.20664275310532	0.102255548545884	0.0518760094617738	0.607173471645286	0.459439788163625
0.167190812296541	0.427620722594316	0.227700480868108	7.64113217144313e-11	0	NA	0	6.13417262016469e-05	2.28860704196698e-05	6.03860386139132e-07	0.0134961867043055	0.00769770027171912	0.000954308531552428	0.00117939140934764	0.220561682186101	3.53810114539499e-08	0.000726357907414155	0.657689059514475	2.01723052775105e-05	0.308565659227635	0.900175247486508	0.745042807208615	5.23533677230237e-05	0.000118828596476384	7.85756143706351e-07	0.0651291484085843	0.0518751169001979	0.745042807208615	0.424515531025363	0.572876694734936	NA	0.572876694734936	NA	0.745042807208615	0.462433685769522	0.0518751169001979	0.0419857751390424	0.0026483107075812	0.745042807208615	0.64543208664577	0.388109516124291	0.424515531025363	0.963479129128522	0.745042807208615	0.745042807208615	0.682397296811615
0.518949368074822	0.711014499245097	0.0515628635901069	2.24709140184132e-12	1.77635683940025e-15	0	NA	0.0240487201861543	0.0246247659664576	4.25346957655393e-09	0.58575248129035	0.234665696861242	0.113103206957559	0.120342660682055	0.533429195238259	1.61544504440059e-08	0.0404737363132868	0.763029920700567	0.00235014848191906	0.160347057488106	0.186989385916119	0.868662485036477	6.23296367829873e-06	5.43218346749086e-07	0	0.413309804571716	3.00666041475051e-05	0.868662485036477	0.684698510400237	0.774345733035511	NA	0.774345733035511	NA	0.868662485036477	0.0922714819241728	0.815009633460724	0.173933188359436	0.660794956403529	0.868662485036477	0.815009633460724	0.660794956403529	0.684698510400237	0.599388620638839	0.868662485036477	0.868662485036477	0.880158988993735
0.252173068960345	0.181359354692958	1.07805896958357e-05	7.47374941356682e-06	0.101636979634445	6.13417262016469e-05	0.0240487201861543	NA	0	0	0	0	0.000574424503237747	0.00093177830795943	0.0245508977455646	0	0.0809804361026929	0.0197332829626311	0.0102129987549053	0	0.151256772455637	0.550945621527516	0.030375972878983	0.218449147497876	0.0069104923386436	0.00803474724254905	0.398753904680832	0.0937948491019822	0.185357756761654	0.301088299600009	NA	0.301088299600009	NA	0.550945621527516	4.34076241617731e-09	0.44550575514533	0.00361929734460054	0.317084229557624	0.550945621527516	0.44550575514533	0.113349081705631	0.142918569893129	0.240730755053022	0.550945621527516	0.550945621527516	0.640740654553014
0.255238436960495	0.18247553560257	5.07470253308107e-06	7.9307834295328e-06	0.0937837129145582	2.28860704196698e-05	0.0246247659664576	0	NA	0	0	0	0.000289348500684294	0.000476746108673876	0.0249192891734529	0	0.0747888545515303	0.0202256775211693	0.0054542902459358	0	0.254912864212016	0.551961487591613	0.0175362264248111	0.151304891745532	0.00709096168801837	0.00846787030991281	0.399957484265711	0.0929575283707738	0.183002568130228	0.302322723084981	NA	0.302322723084981	NA	0.551961487591613	4.78489070587784e-09	0.443061714348153	0.00389666708766256	0.313625272308857	0.551961487591613	0.443061714348153	0.114272542539832	0.143941218054844	0.243027809427562	0.551961487591613	0.551961487591613	0.655671484726029
0.74535758575195	0.0159407350667307	0.00488451310111415	1.23930010520468e-06	8.70385008353569e-05	6.03860386139132e-07	4.25346957655393e-09	0	0	NA	7.93358978512515e-09	0.000144860782603118	0.00591923121295768	0.00159834282995197	0.184810269907844	8.50553891407202e-06	0.550439480298418	0.306512854403067	0.330907198389556	2.93110891114168e-08	0.203825236678727	0.13126285795406	0.0749885235503187	0.00122568927760902	3.33563399024239e-05	0.157012529411808	0.0326378367674756	0.507912651844681	0.880122034578182	0.173394873079486	NA	0.25090223267292	NA	0.507912651844681	3.38387975729049e-06	0.549337649275485	0.0164342817202896	0.124756604755446	0.507912651844681	0.348808232425817	0.476735670633642	0.298658850982383	0.4689515478666	0.507912651844681	0.507912651844681	0.00158130397529299
0.6442995186832	0.790835925132262	0	0.680804060439441	0.677647272563398	0.0134961867043055	0.58575248129035	0	0	7.93358978512515e-09	NA	0	0	0	0.441567605674422	2.30926389122033e-14	0.0148830982174644	0.0180559359370256	0	0	0.000125047810154211	0.277879052979109	0.00287691167224668	0.197723695951843	0.184351666074375	0.866012856447835	0.90746556094469	0.277879052979109	0.306466931390676	0.662087583515782	NA	0.110287537941	NA	0.277879052979109	1.30983193846745e-07	0.90746556094469	3.222141042869e-08	0.549748969347297	0.357221403299377	0.90746556094469	0.0039199492887243	0.0236257794376371	0.00338901945662951	0.357221403299377	0.357221403299377	0.800653909258563
0.676016965970687	0.58998172811974	0	0.834375285983835	0.377882453011418	0.00769770027171912	0.234665696861242	0	0	0.000144860782603118	0	NA	0	0	0.878844495895325	6.43489261875629e-10	0.20614096946383	0.0135644681891356	0	0	0.00391190821923981	0.33714587448111	0.394200112070076	0.799733453502134	0.424775302098479	0.430951467546655	0.954328941804147	0.33714587448111	0.123883117809195	0.611578476284519	NA	0.516847989701583	NA	0.33714587448111	4.25950053006829e-09	0.954328941804147	1.82144610505475e-09	0.785842284447075	0.297952563490541	0.954328941804147	0.0107560643137377	0.920825376133436	0.000918921779722304	0.297952563490541	0.297952563490541	0.26946864981248
0.518503483358598	0.362002264959885	0	0.0351037253609174	1.45899825554352e-09	0.000954308531552428	0.113103206957559	0.000574424503237747	0.000289348500684294	0.00591923121295768	0	0	NA	0	0.125335820033406	1.56162928277581e-06	0.000177766008433444	0.102118235833202	0	8.27921164070489e-07	4.44089209850063e-16	0.0139550741032668	9.51979157421956e-05	1.74459098161162e-05	0.0320519450389505	0.01090755504159	0.564891156823893	0.684164433835221	0.178960787352075	0.342773576627339	NA	0.480604305950897	NA	0.684164433835221	3.23546378506734e-05	0.564891156823893	6.30810147397298e-05	0.280262802174937	0.684164433835221	0.564891156823893	0.280262802174937	0.31774767105478	0.196144866369571	0.684164433835221	0.684164433835221	0.359064481665011
0.493521798973853	0.367878889037669	0	0.0396506548569877	6.06965144811511e-10	0.00117939140934764	0.120342660682055	0.00093177830795943	0.000476746108673876	0.00159834282995197	0	0	0	NA	0.130007111808256	8.67884015320897e-07	0.000636121724917116	0.0309552639349469	0	1.12763469672927e-06	0	0.012817118785122	3.48036297965759e-05	5.90742432260427e-06	0.0342086818436054	0.00809044345677967	0.569639354169661	0.687806257218102	0.168549722743309	0.331088052729082	NA	0.485964660534702	NA	0.687806257218102	4.0396982684765e-05	0.569639354169661	8.34268723086673e-05	0.286163399596735	0.687806257218102	0.569639354169661	0.286163399596735	0.323678411667593	0.201650724778158	0.687806257218102	0.687806257218102	0.398688439171003
0.644530626425672	0.79097849701133	0.0789959034941439	0.845808970406347	0.538878592214233	0.220561682186101	0.533429195238259	0.0245508977455646	0.0249192891734529	0.184810269907844	0.441567605674422	0.878844495895325	0.125335820033406	0.130007111808256	NA	0.225494035903015	0.654003683766035	0.00806602052401661	0.754559379303064	0.154026431758591	0.775982039976074	0.905835145258112	0.00219957261737536	0.213068611876698	1.05875098264097e-05	0.0587973227401029	0.867074600744633	0.905835145258112	0.771447422139559	0.837498328321208	NA	0.837498328321208	NA	0.905835145258112	0.228605778615314	0.867074600744633	0.1616200532756	0.753586690449937	0.905835145258112	2.85968049240637e-09	0.753586690449937	0.771447422139559	0.707093000270816	0.905835145258112	0.905835145258112	0.0691498139529263
0.301999449617323	0.901139427979254	5.02935260549009e-07	2.53120635562709e-10	0.0719738921572022	3.53810114539499e-08	1.61544504440059e-08	0	0	8.50553891407202e-06	2.30926389122033e-14	6.43489261875629e-10	1.56162928277581e-06	8.67884015320897e-07	0.225494035903015	NA	0.000128956227063881	0.205391433554664	2.22044604925031e-16	7.15807413342873e-11	0.00584682221827526	0.592290414372727	5.36193311972966e-12	0	6.66133814775094e-16	7.00126172592519e-08	0.346922131882258	0.592290414372727	0.188351077394961	0.353097585126067	NA	0.646416261756722	NA	0.592290414372727	2.67687597421684e-06	0.448589990870758	1.91104271765052e-05	0.609270286100533	0.592290414372727	0.448589990870758	0.690024674213228	0.00030832949891435	0.0887287258027314	0.0619971273231856	0.592290414372727	0.338387966142726
0.576236629900976	0.278808954037119	2.01576605527443e-05	0.030477418038634	0.0330336411819085	0.000726357907414155	0.0404737363132868	0.0809804361026929	0.0747888545515303	0.550439480298418	0.0148830982174644	0.20614096946383	0.000177766008433444	0.000636121724917116	0.654003683766035	0.000128956227063881	NA	0.10606784151345	0.000437621353076345	0.00732645046334435	0.0085928660603134	0.628910181832887	0.702945903158947	0.65095200573977	0.0404737363132863	0.347639864829582	0.494093721887881	0.628910181832887	0.0517132747888041	0.0347375184841745	NA	0.402053904866764	NA	0.628910181832887	4.03131109834032e-05	0.494093721887881	0.0222606279721396	0.515194641345945	0.0385916991014397	0.494093721887881	0.199546511701063	0.235218154376433	0.124573983232905	0.628910181832887	0.0385916991014397	0.830902210693123
