RecA (998)	SSBa (1008)	RecJ (832)	RecQ (953)	RecF (801)	RecO (916)	RecR (986)	RecB (266)	RecC (265)	RecD (704)	AddA (548)	AddB (486)	AdnA (144)	AdnB (141)	I-A (14)	I-B (226)	I-C (192)	I-D (28)	I-E (253)	I-F (127)	I-G (55)	I (1)	III-A (108)	III-B (112)	III-C (27)	III-D (80)	III-F (2)	III (1)	IV-A (6)	IV-B (3)	IV-C (0)	IV-D (3)	IV-E (0)	IV (1)	II-A (94)	II-B (2)	II-C (123)	V-A (7)	V-B (1)	V-F (2)	V-K (7)	VI-A (6)	VI-B (10)	VI-C (1)	VI-D (1)	Cluster (83)
RecA (998)	1	0.107988291450178	0.0494943940363351	0.00386229523045611	-0.0228881515356632	0.0434320844517724	-0.020287278141934	0.0360105259144667	0.035778918019211	-0.0102162634880093	-0.0145232825686387	-0.0131458920746161	-0.0203089205511201	-0.0215373999137337	0.0145131482854866	-0.0324610321990705	0.0175802391083795	0.0206700372512056	-0.0236714991916141	0.0217337783074369	-0.00669395594501959	0.00385380825463317	-0.0106139971348495	-0.0349652912183657	0.0202872781419343	0.00559428890729397	0.00545280263879837	0.00385380825463317	0.00946327038170332	0.00668159733382728	NA	0.00668159733382728	NA	0.00385380825463317	0.0110397165825578	0.00545280263879837	-0.00447115901501571	0.0102265792571061	0.00385380825463317	0.00545280263879837	0.0102265792571061	0.00946327038170332	0.0122413662659946	0.00385380825463317	0.00385380825463317	0.00682490427252965
SSBa (1008)	0.107988291450178	1	0.00392019379284091	-0.017671927086353	0.0330200456765919	0.0249508330537242	-0.0116546211498505	0.0420276641926387	0.0419205405567133	0.0757135302855071	-0.00834332506339977	-0.0169503465651402	0.0286698944413706	0.0283208347525888	0.00833750312760639	0.00390777011952781	0.0340591473845353	-0.0740460412374351	0.00809502540075204	-0.0158729559199005	0.0168753708787035	0.00221393303121771	0.0243300120628228	-0.0200868356855642	0.0116546211498539	-0.0316052617126312	0.00313252219028626	0.00221393303121771	0.00543645285315104	0.00383843929465679	NA	0.00383843929465679	NA	0.00221393303121771	-0.0260233305906413	0.00313252219028626	0.0261825709164833	0.00587495799420047	0.00221393303121771	0.00313252219028626	0.00587495799420047	0.00543645285315104	0.00703241140524774	0.00221393303121771	0.00221393303121771	0.0210403184183754
RecJ (832)	0.0494943940363351	0.00392019379284091	1	0.0248828949933369	-0.0372451347617452	-0.0379342991177057	-0.0611840648044844	0.137782755278561	0.14276575312439	0.0883670937151403	0.43394218801441	0.386013153677152	-0.86537845199003	-0.854687261338938	0.0552152315826149	0.157100089343924	0.133509186051225	0.0629205886586415	-0.35596221978151	0.161024635954188	-0.229408545914808	-0.0673956892957197	0.136076662701623	0.131576549293755	0.0611840648044839	-0.0545181452620269	0.0207451722088879	0.014661802599189	-0.0311628050318748	-0.0220026805340076	NA	0.0254201181488641	NA	-0.0673956892957197	-0.0284594093483879	0.0207451722088879	0.126056195083146	0.0389069918443368	0.014661802599189	0.0207451722088879	0.0389069918443368	0.0360029853878894	0.0465722433181794	0.014661802599189	0.014661802599189	0.00780035781171049
RecQ (953)	0.00386229523045611	-0.017671927086353	0.0248828949933369	1	0.241002071903671	0.202586972243599	0.218115809355242	0.140226740690776	0.13983354793593	0.151664646548076	-0.0129402360420279	0.00657760137146907	0.0662143870144419	0.0646531267398661	-0.00611754631011016	-0.197020922631984	0.0679910860160883	-0.0342215952386671	0.125449433731131	0.0949979370586674	0.0416658254181137	0.00788749176131375	-0.157227114277741	-0.0848982805619376	-0.24407953613278	-0.00405637393168557	-0.0830498414635956	0.00788749176131375	0.0193682358433461	0.0136750560590604	NA	0.0136750560590604	NA	0.00788749176131375	-0.0350587918143526	-0.0830498414635956	0.00365281946331627	-0.0295518454944899	0.00788749176131375	0.0111601130746153	0.0209304807886775	0.0193682358433461	0.0250540943375106	0.00788749176131375	0.00788749176131375	-0.0775183701705528
RecF (801)	-0.0228881515356632	0.0330200456765919	-0.0372451347617452	0.241002071903671	1	0.36038948302325	0.246324864322645	-0.0514617262405776	-0.0526797777382257	0.122977093220572	0.0130757906846284	0.0277345199729432	0.188574783814893	0.192851333174282	0.0193294702751067	-0.056556634850553	-0.0669829924297693	0.071936369562462	0.117434075819309	0.0555377946908645	0.0161749573063024	0.0161719137401038	-0.0424432029317604	-0.0507697168877468	-0.140861175582645	0.0606667458068393	-0.0317863404520922	0.0161719137401038	-0.0235394763188477	-0.0612786653087212	NA	-0.0166201847635884	NA	-0.0611023721972792	-0.00274114628393295	-0.0317863404520922	-0.091079346939792	0.0136203638161633	0.0161719137401038	0.0228818477957336	0.0429142673103743	0.0397111589888253	0.0513690111791837	-0.0611023721972792	0.0161719137401038	-0.0232685602246042
RecO (916)	0.0434320844517724	0.0249508330537242	-0.0379342991177057	0.202586972243599	0.36038948302325	1	0.466860026124311	0.125571617304389	0.132626406637872	0.156012852969606	-0.0775967847812671	-0.0836901489073417	0.103646749770169	0.101779094608982	0.0385229382038749	-0.172116242104713	0.106010647301682	0.0139385743451689	0.133504151404536	0.0320235151836212	0.00394608159303393	0.010229346129625	-0.1267302017643	-0.120624949639956	-0.154434319396622	0.0579715057803012	-0.0611026044600356	0.010229346129625	0.0251188076459932	0.0177352808729723	NA	0.0177352808729723	NA	0.010229346129625	-0.0231137143142955	-0.0611026044600356	-0.0639096065837133	-0.0943474982241303	0.010229346129625	0.0144736328024993	0.0271448946161798	0.0251188076459932	-0.0014404042201137	0.010229346129625	0.010229346129625	-0.0128719125409414
RecR (986)	-0.020287278141934	-0.0116546211498505	-0.0611840648044844	0.218115809355242	0.246324864322645	0.466860026124311	1	0.0708910566880872	0.0706055147523142	0.183218919877077	-0.0171434253820587	-0.0373724990858427	0.0498111278309224	0.048835795160044	0.019589560762056	-0.17630737376744	0.064386920981513	-0.00948452646857894	0.0954765876951389	0.0441425958779104	-0.0414922107979446	0.00520179422716607	-0.141422864993723	-0.156642928930221	-0.277026519420029	0.0257310354411582	-0.130709662111744	0.00520179422716607	0.0127733353579474	0.00901868804644485	NA	0.00901868804644485	NA	0.00520179422716607	0.0529236264880698	0.00736008524925358	0.0427531290671479	0.0138036345942526	0.00520179422716607	0.00736008524925358	0.0138036345942526	0.0127733353579474	0.0165231542847316	0.00520179422716607	0.00520179422716607	0.00474283045471978
RecB (266)	0.0360105259144667	0.0420276641926387	0.137782755278561	0.140226740690776	-0.0514617262405776	0.125571617304389	0.0708910566880872	1	0.992346834938226	0.385597634157979	-0.611790190885992	-0.550599099484992	-0.108006003273273	-0.10385558840921	-0.0706418055810673	-0.271280736264072	0.0548537667561727	-0.0732421801384903	0.0806693272879793	0.492191795562005	0.0451226561003827	-0.0187581610905714	-0.0680325673083745	-0.0386997386783385	-0.0848190319450752	-0.083238167751377	-0.0265411622829712	0.0526779937393115	0.041646149269524	-0.0325222405602518	NA	-0.0325222405602518	NA	-0.0187581610905714	-0.18311568630537	0.0239968027408066	-0.0913379285160753	0.0314649708146138	-0.0187581610905714	0.0239968027408066	-0.0497772095639854	-0.0460618532461264	-0.0368928336340017	-0.0187581610905714	-0.0187581610905714	-0.0146795329867752
RecC (265)	0.035778918019211	0.0419205405567133	0.14276575312439	0.13983354793593	-0.0526797777382257	0.132626406637872	0.0706055147523142	0.992346834938226	1	0.384578111477211	-0.610095250056764	-0.54911117776695	-0.113654899115149	-0.109567447361296	-0.0704617478213135	-0.270406734449296	0.0560066073621221	-0.0729524825350458	0.0872520923338623	0.486857301192927	0.0358034250428829	-0.0187103487160817	-0.0746171083967839	-0.0451173519501039	-0.0845504136495834	-0.0826816050718437	-0.0264735119421761	0.0528126069419968	0.041870128051975	-0.0324393451454293	NA	-0.0324393451454293	NA	-0.0187103487160817	-0.182619843043496	0.024125860883153	-0.0906139167553415	0.0316905631009815	-0.0187103487160817	0.024125860883153	-0.0496503332367573	-0.0459444469307387	-0.0367133890909689	-0.0187103487160817	-0.0187103487160817	-0.014026367798747
RecD (704)	-0.0102162634880093	0.0757135302855071	0.0883670937151403	0.151664646548076	0.122977093220572	0.156012852969606	0.183218919877077	0.385597634157979	0.384578111477211	1	-0.180023774230894	-0.119105997046045	-0.0864175414903088	-0.0990439669467198	0.0416980268625155	-0.139368701393923	-0.0187819991030833	-0.0321596288028037	0.0305791388477414	0.173131709408708	-0.0399586780137824	-0.0474478822888774	-0.0559682388537565	-0.10143623200487	-0.129973344079765	-0.0444970965695461	-0.0671346161135908	0.0208258460614533	-0.00474430408401074	-0.0428066073327452	NA	0.0361071201068742	NA	0.0208258460614533	0.145377854558597	-0.0188339299466395	-0.0753644590813473	-0.0482634516738702	0.0208258460614533	0.0294667562203119	-0.0223815689075227	-0.0326860484857717	0.0227785246750797	0.0208258460614533	0.0208258460614533	-0.0991415339973028
