AssemblyAccession	PhylumRenamed	AddAB	AddABJ	AdnAB	RecBCD	RecFOR	RecOR
GCF_000005825.2	Bacillota	1	0	0	0	0	0
GCF_000005845.2	Pseudomonadota	0	0	0	1	0	0
GCF_000006685.1	Chlamydiota	0	0	0	0	0	0
GCF_000006765.1	Pseudomonadota	0	0	0	1	0	0
GCF_000006925.2	Pseudomonadota	0	0	0	1	0	0
GCF_000006945.2	Pseudomonadota	0	0	0	1	0	0
GCF_000006985.1	Chlorobiota	0	0	0	1	0	0
GCF_000007025.1	Pseudomonadota	0	0	0	0	0	0
GCF_000007085.1	Bacillota	1	0	0	0	0	0
GCF_000007105.1	Pseudomonadota	1	0	0	0	0	0
GCF_000007125.1	Pseudomonadota	1	0	0	0	0	0
GCF_000007205.1	Chlamydiota	0	0	0	0	0	0
GCF_000007245.1	Pseudomonadota	0	0	0	1	0	0
GCF_000007485.1	Actinomycetota	0	0	1	0	0	0
GCF_000007505.1	Pseudomonadota	1	0	0	0	0	0
GCF_000007605.1	Chlamydiota	0	0	0	0	0	0
GCF_000007625.1	Bacillota	0	0	0	0	0	0
GCF_000007705.1	Pseudomonadota	0	0	0	1	0	0
GCF_000007725.1	Pseudomonadota	0	0	0	1	0	0
GCF_000007745.1	Pseudomonadota	0	0	0	0	0	0
GCF_000007765.2	Pseudomonadota	1	0	0	0	0	0
GCF_000007805.1	Pseudomonadota	0	0	0	1	0	0
GCF_000007905.1	Pseudomonadota	0	0	0	0	0	0
GCF_000007925.1	Cyanobacteriota	0	0	0	1	0	0
GCF_000007985.2	Pseudomonadota	0	0	0	1	0	0
GCF_000008185.1	Spirochaetota	1	0	0	0	0	0
GCF_000008305.1	Mycoplasmatota	0	0	0	0	0	0
GCF_000008325.1	Pseudomonadota	0	0	0	1	0	0
GCF_000008345.1	Actinomycetota	0	0	1	1	0	0
GCF_000008365.1	Mycoplasmatota	0	0	0	0	0	0
GCF_000008445.1	Bacillota	1	0	0	0	0	0
GCF_000008465.1	Pseudomonadota	0	0	0	1	0	0
GCF_000008625.1	Aquificota	0	0	0	0	0	0
GCF_000008725.1	Chlamydiota	0	0	0	0	0	0
GCF_000008865.2	Pseudomonadota	0	0	0	1	0	0
GCF_000009045.1	Bacillota	1	0	0	0	0	0
GCF_000009085.1	Pseudomonadota	1	0	0	0	0	0
GCF_000009145.1	Pseudomonadota	0	0	0	0	0	0
GCF_000009305.1	Pseudomonadota	0	0	0	0	0	0
GCF_000009365.1	Pseudomonadota	0	0	0	1	0	0
GCF_000009625.1	Pseudomonadota	1	0	0	0	0	0
GCF_000009765.2	Actinomycetota	0	0	1	0	0	0
GCF_000009785.1	Bacillota	1	0	0	0	0	0
GCF_000009805.1	Actinomycetota	0	0	1	1	0	0
GCF_000009905.1	Bacillota	1	0	0	0	0	0
GCF_000009945.1	Chlamydiota	0	0	0	0	0	0
GCF_000009985.1	Pseudomonadota	0	0	0	0	0	0
GCF_000010085.1	Pseudomonadota	0	0	0	1	0	0
GCF_000010265.1	Bacillota	0	0	0	0	0	0
GCF_000010305.1	Other	0	0	0	1	0	0
GCF_000010505.1	Bacteroidota	0	0	0	0	0	0
GCF_000010525.1	Pseudomonadota	1	0	0	0	0	0
GCF_000010605.1	Actinomycetota	0	0	1	0	0	0
GCF_000010625.1	Cyanobacteriota	0	0	0	0	0	0
GCF_000010665.1	Pseudomonadota	0	0	0	0	0	0
GCF_000010985.1	Deferribacterota	0	0	0	1	0	0
GCF_000011145.1	Bacillota	1	0	0	0	0	0
GCF_000011225.1	Mycoplasmatota	0	0	0	0	0	0
GCF_000011245.1	Bacillota	1	0	0	0	0	0
GCF_000011305.1	Actinomycetota	0	0	1	0	0	0
GCF_000011345.1	Cyanobacteriota	0	0	0	0	0	0
GCF_000011385.1	Cyanobacteriota	0	0	0	0	0	0
GCF_000011645.1	Bacillota	1	0	0	0	0	0
GCF_000011965.2	Pseudomonadota	1	0	0	0	0	0
GCF_000012085.2	Spirochaetota	0	0	0	0	0	0
GCF_000012305.1	Pseudomonadota	0	0	0	1	0	0
GCF_000012325.1	Pseudomonadota	0	0	0	1	0	0
GCF_000012365.1	Pseudomonadota	0	0	0	1	0	0
GCF_000012385.1	Pseudomonadota	0	0	0	0	0	0
GCF_000012405.1	Actinomycetota	0	0	1	0	0	0
GCF_000012425.1	Pseudomonadota	1	0	0	0	0	0
GCF_000012485.1	Chlorobiota	0	0	0	1	0	0
GCF_000012525.1	Cyanobacteriota	1	0	0	0	0	0
GCF_000012565.1	Pseudomonadota	0	0	0	0	0	0
GCF_000012585.1	Chlorobiota	0	0	0	1	0	0
GCF_000012605.1	Pseudomonadota	1	0	0	0	0	0
GCF_000012665.1	Pseudomonadota	1	0	0	0	0	0
GCF_000012685.1	Pseudomonadota	1	0	0	0	0	0
GCF_000012725.1	Pseudomonadota	1	0	0	0	0	0
GCF_000012765.1	Mycoplasmatota	0	0	0	0	0	0
GCF_000012805.1	Pseudomonadota	1	0	0	0	0	0
GCF_000012825.1	Bacteroidota	1	0	0	0	0	0
GCF_000012865.1	Bacillota	1	0	0	0	0	0
GCF_000012885.1	Pseudomonadota	1	0	0	0	0	0
GCF_000012925.1	Pseudomonadota	0	0	0	1	0	0
GCF_000012965.1	Pseudomonadota	1	0	0	0	0	0
GCF_000012985.1	Pseudomonadota	0	0	0	1	0	0
GCF_000013025.1	Pseudomonadota	0	0	0	0	0	0
GCF_000013165.1	Pseudomonadota	0	0	0	0	0	0
GCF_000013285.1	Bacillota	1	0	0	0	0	0
GCF_000013325.1	Pseudomonadota	1	0	0	0	0	0
GCF_000013345.1	Actinomycetota	0	0	1	0	0	0
GCF_000013405.1	Pseudomonadota	0	0	0	1	0	0
GCF_000013425.1	Bacillota	1	0	0	0	0	0
GCF_000013605.1	Pseudomonadota	1	0	0	0	0	0
GCF_000013645.1	Pseudomonadota	0	0	0	1	0	0
GCF_000013665.1	Pseudomonadota	1	0	0	0	0	0
GCF_000013705.1	Pseudomonadota	1	0	0	0	0	0
GCF_000013765.1	Pseudomonadota	0	0	0	1	0	0
GCF_000013885.1	Pseudomonadota	1	0	0	0	0	0
GCF_000013905.1	Pseudomonadota	0	0	0	1	0	0
GCF_000013985.1	Pseudomonadota	1	0	0	0	0	0
GCF_000014125.1	Bacillota	1	0	0	0	0	0
GCF_000014145.1	Bacteroidota	0	0	0	0	0	0
GCF_000014185.1	Actinomycetota	0	0	0	0	0	0
GCF_000014265.1	Cyanobacteriota	0	0	0	0	0	0
GCF_000014425.1	Bacillota	1	0	0	0	0	0
GCF_000014505.1	Bacillota	1	0	0	0	0	0
GCF_000014705.1	Pseudomonadota	0	0	0	1	0	0
GCF_000014725.1	Bacillota	1	0	0	0	0	0
GCF_000014785.1	Pseudomonadota	0	0	0	1	0	0
GCF_000014865.1	Pseudomonadota	1	0	0	0	0	0
GCF_000014885.1	Pseudomonadota	0	0	0	1	0	0
GCF_000014965.1	Pseudomonadota	0	0	0	0	0	0
GCF_000015025.1	Actinomycetota	0	0	1	0	0	0
GCF_000015045.1	Pseudomonadota	0	0	0	1	0	0
GCF_000015125.1	Chlorobiota	0	0	0	1	0	0
GCF_000015245.1	Pseudomonadota	0	0	0	1	0	0
GCF_000015285.1	Pseudomonadota	0	0	0	1	0	0
GCF_000015305.1	Actinomycetota	0	0	1	1	0	0
GCF_000015325.1	Pseudomonadota	1	0	0	0	0	0
GCF_000015345.1	Pseudomonadota	0	0	0	0	0	0
GCF_000015445.1	Pseudomonadota	1	0	0	0	0	0
GCF_000015505.1	Pseudomonadota	1	0	0	0	0	0
GCF_000015565.1	Pseudomonadota	0	0	0	0	0	0
GCF_000015585.1	Pseudomonadota	0	0	0	1	0	0
GCF_000015725.1	Pseudomonadota	1	0	0	0	0	0
GCF_000015985.1	Pseudomonadota	1	0	0	0	0	0
GCF_000016065.1	Pseudomonadota	0	0	0	1	0	0
GCF_000016085.1	Chlorobiota	0	0	0	1	0	0
GCF_000016165.1	Bacillota	1	0	0	0	0	0
GCF_000016345.1	Pseudomonadota	1	0	0	0	0	0
GCF_000016425.1	Actinomycetota	0	0	1	0	0	0
GCF_000016545.1	Bacillota	0	0	0	0	0	0
GCF_000016585.1	Pseudomonadota	0	0	0	1	0	0
GCF_000016645.1	Bacteroidota	1	0	0	0	0	0
GCF_000016745.1	Pseudomonadota	0	0	0	1	0	0
GCF_000016765.1	Pseudomonadota	1	0	0	0	0	0
GCF_000016785.1	Thermotogota	0	0	0	0	0	0
GCF_000016845.1	Pseudomonadota	1	0	0	0	0	0
GCF_000016985.1	Bacillota	1	0	0	0	0	0
GCF_000017265.1	Pseudomonadota	1	0	0	0	0	0
GCF_000017305.1	Actinomycetota	1	0	1	1	0	0
GCF_000017445.4	Pseudomonadota	0	0	0	0	0	0
GCF_000017545.1	Thermotogota	1	0	0	0	0	0
GCF_000017565.1	Pseudomonadota	1	0	0	0	0	0
GCF_000017805.1	Chloroflexota	0	0	0	0	0	0
GCF_000017865.1	Thermotogota	0	0	0	0	0	0
GCF_000018025.1	Pseudomonadota	0	0	0	1	0	0
GCF_000018105.1	Cyanobacteriota	0	0	0	0	0	0
GCF_000018145.1	Pseudomonadota	1	0	0	0	0	0
GCF_000018205.1	Pseudomonadota	0	0	0	0	0	0
GCF_000018265.1	Actinomycetota	0	0	1	0	0	0
GCF_000018285.1	Pseudomonadota	0	0	0	1	0	0
GCF_000018325.1	Bacillota	0	0	0	0	0	0
GCF_000018405.1	Pseudomonadota	0	0	0	1	0	0
GCF_000018525.1	Pseudomonadota	1	0	0	0	0	0
GCF_000018605.1	Thermotogota	0	0	0	0	0	0
GCF_000018685.1	Bacillota	1	0	0	0	0	0
GCF_000018785.1	Mycoplasmatota	0	0	0	0	0	0
GCF_000018845.1	Pseudomonadota	1	0	0	0	0	0
GCF_000018885.1	Actinomycetota	0	0	1	0	0	0
GCF_000018945.1	Thermotogota	0	0	0	0	0	0
GCF_000019085.1	Bacillota	1	0	0	0	0	0
GCF_000019165.1	Bacillota	1	0	0	0	0	0
GCF_000019185.1	Pseudomonadota	0	0	0	1	0	0
GCF_000019205.1	Pseudomonadota	1	0	0	0	0	0
GCF_000019225.1	Pseudomonadota	1	0	0	0	0	0
GCF_000019245.4	Bacillota	1	0	0	0	0	0
GCF_000019345.1	Mycoplasmatota	0	0	0	0	0	0
GCF_000019525.1	Pseudomonadota	0	0	0	1	0	0
GCF_000019665.1	Verrucomicrobiota	1	0	0	0	0	0
GCF_000019685.1	Spirochaetota	0	0	0	0	0	0
GCF_000019705.1	Spirochaetota	0	0	0	0	0	0
GCF_000019725.1	Pseudomonadota	0	0	0	0	0	0
GCF_000019785.1	Pseudomonadota	0	0	0	1	0	0
GCF_000019845.1	Pseudomonadota	1	0	0	0	0	0
GCF_000019905.1	Bacillota	1	0	0	0	0	0
GCF_000019965.1	Verrucomicrobiota	1	0	0	0	0	0
GCF_000020005.1	Bacillota	1	0	0	0	0	0
GCF_000020025.1	Cyanobacteriota	0	0	0	0	0	0
GCF_000020045.1	Pseudomonadota	0	0	0	1	0	0
GCF_000020125.1	Pseudomonadota	0	0	0	1	0	0
GCF_000020145.1	Other	1	0	0	0	0	0
GCF_000020305.1	Pseudomonadota	0	0	0	0	0	0
GCF_000020365.1	Pseudomonadota	0	0	0	1	0	0
GCF_000020385.1	Pseudomonadota	0	0	0	0	0	0
GCF_000020465.1	Chlorobiota	0	0	0	1	0	0
GCF_000020485.1	Bacillota	0	0	0	0	0	0
GCF_000020505.1	Chlorobiota	0	0	0	1	0	0
GCF_000020525.1	Chlorobiota	0	0	0	0	0	0
GCF_000020625.1	Chlorobiota	0	0	0	0	0	0
GCF_000020645.1	Chlorobiota	0	0	0	1	0	0
GCF_000020685.1	Deinococcota	1	0	0	0	0	0
GCF_000020725.1	Pseudomonadota	0	0	0	1	0	0
GCF_000020945.1	Other	0	0	0	0	0	0
GCF_000020965.1	Other	0	0	0	0	0	0
GCF_000020985.1	Nitrospirota	1	0	0	0	0	0
GCF_000021045.1	Pseudomonadota	0	0	0	1	0	0
GCF_000021205.1	Bacillota	1	0	0	0	0	0
GCF_000021265.1	Mycoplasmatota	0	0	0	0	0	0
GCF_000021285.1	Thermotogota	1	0	0	0	0	0
GCF_000021485.1	Pseudomonadota	0	0	0	1	0	0
GCF_000021545.1	Aquificota	0	0	0	0	0	0
GCF_000021565.1	Aquificota	0	0	0	0	0	0
GCF_000021645.1	Other	0	0	0	0	0	0
GCF_000021685.1	Chloroflexota	0	0	0	0	0	0
GCF_000021725.1	Pseudomonadota	0	0	0	0	0	0
GCF_000021745.1	Pseudomonadota	1	0	0	0	0	0
GCF_000021825.1	Cyanobacteriota	0	0	0	0	0	0
GCF_000021885.1	Pseudomonadota	0	0	0	0	0	0
GCF_000021905.1	Pseudomonadota	0	0	0	1	0	0
GCF_000021925.1	Bacillota	1	0	0	0	0	0
GCF_000021945.1	Chloroflexota	0	0	0	0	0	0
GCF_000021985.1	Pseudomonadota	0	0	0	0	0	0
GCF_000022005.1	Pseudomonadota	1	0	0	0	0	0
GCF_000022065.1	Bacillota	1	0	0	0	0	0
GCF_000022085.1	Pseudomonadota	1	0	0	0	0	0
GCF_000022145.1	Pseudomonadota	1	0	0	0	0	0
GCF_000022185.1	Chloroflexota	0	0	0	0	0	0
GCF_000022265.1	Pseudomonadota	0	0	0	1	0	0
GCF_000022325.1	Bacillota	0	0	0	0	0	0
GCF_000022525.1	Pseudomonadota	0	0	0	0	0	0
GCF_000022565.1	Acidobacteriota	1	0	0	0	0	0
GCF_000022725.1	Pseudomonadota	1	0	0	0	0	0
GCF_000022745.1	Pseudomonadota	1	0	0	0	0	0
GCF_000022885.2	Pseudomonadota	0	0	0	1	0	0
GCF_000022905.1	Actinomycetota	0	0	1	0	0	0
GCF_000023065.1	Pseudomonadota	0	0	0	1	0	0
GCF_000023105.1	Actinomycetota	0	0	1	0	0	0
GCF_000023125.1	Bacteroidota	0	0	0	0	0	0
GCF_000023145.1	Actinomycetota	0	0	1	0	0	0
GCF_000023205.1	Actinomycetota	0	0	1	0	0	0
GCF_000023225.1	Pseudomonadota	0	0	0	1	0	0
GCF_000023245.1	Actinomycetota	0	0	1	0	0	0
GCF_000023265.1	Actinomycetota	0	0	0	0	0	0
GCF_000023285.1	Bacteroidota	0	0	0	0	0	0
GCF_000023325.1	Thermotogota	1	0	0	0	0	0
GCF_000023345.1	Pseudomonadota	1	0	0	1	0	0
GCF_000023405.1	Actinomycetota	0	0	1	0	0	0
GCF_000023445.1	Pseudomonadota	0	0	0	0	0	0
GCF_000023465.1	Bacteroidota	1	0	0	0	0	0
GCF_000023545.1	Pseudomonadota	0	0	0	1	0	0
GCF_000023565.1	Pseudomonadota	0	0	0	1	0	0
GCF_000023685.1	Mycoplasmatota	0	0	0	0	0	0
GCF_000023705.1	Pseudomonadota	1	0	0	0	0	0
GCF_000023745.1	Pseudomonadota	1	0	0	0	0	0
GCF_000023785.1	Pseudomonadota	1	0	0	0	0	0
GCF_000023825.1	Bacteroidota	1	0	0	0	0	0
