AssemblyID	OperonSize	Category
GCF_000745905.1	5515	AddAB
GCF_001021025.1	5927	AddAB
GCF_000019665.1	5935	AddAB
GCF_007475525.1	5989	AddAB
GCF_900241015.1	6165	AddAB
GCF_900105785.1	6232	AddAB
GCF_014171515.1	6247	AddAB
GCF_004138495.1	6277	AddAB
GCF_011601345.1	6331	AddAB
GCF_002288285.1	6351	AddAB
GCF_014490665.1	6366	AddAB
GCF_000266945.1	6393	AddAB
GCF_009650215.1	6559	AddAB
GCF_000348785.1	6772	AddAB
GCF_001263205.1	6784	AddAB
GCF_009025875.1	7248	AddAB
GCF_003129925.1	8676	AddAB
GCF_900104195.1	3140	AddAB
GCF_014201885.1	5959	AddAB
GCF_003386095.1	6079	AddAB
GCF_004802515.1	6240	AddAB
GCF_007830335.1	6318	AddAB
GCF_009711365.1	6425	AddAB
GCF_900129175.1	6429	AddAB
GCF_000473085.1	6544	AddAB
GCF_900218015.1	6631	AddAB
GCF_003217325.1	6634	AddAB
GCF_005844135.1	6961	AddAB
GCF_003014655.1	7065	AddAB
GCF_015547475.1	7185	AddAB
GCF_900113125.1	7201	AddAB
GCF_900104235.1	7489	AddAB
GCF_003466005.1	7558	AddAB
GCF_000373185.1	6082	AddAB
GCF_900103735.1	6069	AddAB
GCF_007489275.1	7732	AddAB
GCF_007859915.1	5752	AddAB
GCF_900109705.1	6337	AddAB
GCF_002937115.1	6687	AddAB
GCF_002253105.1	7091	AddAB
GCF_003994475.1	7465	AddAB
GCF_003865405.1	8859	AddAB
GCF_003201715.1	6094	AddAB
GCF_001466305.1	7698	AddAB
GCF_900129125.1	6294	AddAB
GCF_900604295.1	6757	AddAB
GCF_900107165.1	6611	AddAB
GCF_000484655.1	7185	AddAB
GCF_900099065.1	9359	AddAB
GCF_014640115.1	6313	AddAB
GCF_009711475.1	6025	AddAB
GCF_014641495.1	6430	AddAB
GCF_000484655.1	4348	AddAB
GCF_900102365.1	6576	AddAB
GCF_004362975.1	4287	AddAB
GCF_000429585.1	7420	AddAB
GCF_003268855.1	8759	AddAB
GCF_009711525.1	6024	AddAB
GCF_900156255.1	6309	AddAB
GCF_900112005.1	6069	AddAB
GCF_011762045.1	6283	AddAB
GCF_900102835.1	6278	AddAB
GCF_014530645.1	6646	AddAB
GCF_015547475.1	7185	AddAB
GCF_002251775.1	9057	AddAB
GCF_000423725.1	6861	AddAB
GCF_003865095.1	7639	AddAB
GCF_002834145.1	6322	AddAB
GCF_900115165.1	6310	AddAB
GCF_900108085.1	6072	AddAB
GCF_000430525.1	6261	AddAB
GCF_900142145.1	6987	AddAB
GCF_001913815.1	7044	AddAB
GCF_004355225.1	8826	AddAB
GCF_000312305.1	6094	AddAB
GCF_900109185.1	5971	AddAB
GCF_000686725.1	7180	AddAB
GCF_000430685.1	7236	AddAB
GCF_000179635.2	7036	AddAB
GCF_000380125.1	6889	AddAB
GCF_001587215.1	7230	AddAB
GCF_000423005.1	8677	AddAB
GCF_900104185.1	7219	AddAB
GCF_012037625.1	7588	AddAB
GCF_014138635.1	6652	AddAB
GCF_000612665.1	7275	AddAB
GCF_002205635.1	6544	AddAB
GCF_010725055.1	8675	AddAB
GCF_900112885.1	7483	AddAB
GCF_000160835.1	7912	AddAB
GCF_003353425.1	8720	AddAB
GCF_900107485.1	6971	AddAB
GCF_001435935.1	7893	AddAB
GCF_000382125.1	8575	AddAB
GCF_000620125.1	6489	AddAB
GCF_900290285.1	7303	AddAB
GCF_000746845.1	8713	AddAB
GCF_015670795.1	6734	AddAB
GCF_000265385.1	8681	AddAB
GCF_001484965.1	5358	AddAB
GCF_014202195.1	8823	AddAB
GCF_014641635.1	8698	AddAB
GCF_902795365.1	6189	AddAB
GCF_004364975.1	8684	AddAB
GCF_001951155.1	8752	AddAB
GCF_003610635.1	8682	AddAB
GCF_002937075.1	5797	AddAB
GCF_001889005.1	8761	AddAB
GCF_002198115.1	8602	AddAB
GCF_003688405.1	8760	AddAB
GCF_000429125.1	8675	AddAB
GCF_000423065.1	8853	AddAB
GCF_000423045.1	8768	AddAB
GCF_003992615.1	8597	AddAB
GCF_011762485.1	8677	AddAB
GCF_000278255.1	6586	AddAB
GCF_900104555.1	7248	AddAB
GCF_000941055.1	7604	AddAB
GCF_900102395.1	7131	AddAB
GCF_014196495.1	6459	AddAB
GCF_014652555.1	6532	AddAB
GCF_000060345.1	8814	AddAB
GCF_005405405.1	7393	AddAB
GCF_900115205.1	8612	AddAB
GCF_003217215.1	8722	AddAB
GCF_001436595.1	7236	AddAB
GCF_003851125.1	5992	AddAB
GCF_000686645.1	7470	AddAB
GCF_000425005.1	6009	AddAB
GCF_902168435.1	7275	AddAB
GCF_000425825.1	6927	AddAB
GCF_003634585.1	8872	AddAB
GCF_003337305.1	8695	AddAB
GCF_900105425.1	8721	AddAB
GCF_900099995.1	8720	AddAB
GCF_000963865.1	8497	AddAB
GCF_900100185.1	7240	AddAB
GCF_900116805.1	7867	AddAB
GCF_013403915.1	8720	AddAB
GCF_003259265.1	8682	AddAB
GCF_001752425.1	8775	AddAB
GCF_011761355.1	7323	AddAB
GCF_014638095.1	8617	AddAB
GCF_004362855.1	6447	AddAB
GCF_000024125.1	8591	AddAB
GCF_003386165.1	8677	AddAB
GCF_900142975.1	8769	AddAB
GCF_000482485.1	7239	AddAB
GCF_014646655.1	8665	AddAB
GCF_004362865.1	8624	AddAB
GCF_008084905.1	8678	AddAB
GCF_003148645.1	8671	AddAB
GCF_900142265.1	15650	AddAB
GCF_900112295.1	8596	AddAB
GCF_003584105.1	8596	AddAB
GCF_014191245.1	6475	AddAB
GCF_004364155.1	6235	AddAB
GCF_900167335.1	7293	AddAB
GCF_000701665.1	6943	AddAB
GCF_004150225.1	8593	AddAB
GCF_002207765.1	7290	AddAB
GCF_013179575.1	6347	AddAB
GCF_000518485.1	8780	AddAB
GCF_000235885.1	6208	AddAB
GCF_001971745.1	8746	AddAB
GCF_900102075.1	6286	AddAB
GCF_012349105.1	6738	AddAB
GCF_000224085.1	8607	AddAB
GCF_001439635.1	7326	AddAB
GCF_000422365.1	8855	AddAB
GCF_900130045.1	9095	AddAB
GCF_003259525.1	8797	AddAB
GCF_014764305.1	8788	AddAB
GCF_900115145.1	8774	AddAB
GCF_003315595.1	6081	AddAB
GCF_014636335.1	7544	AddAB
GCF_008386635.1	8559	AddAB
GCF_003008435.1	8859	AddAB
GCF_000420785.1	7425	AddAB
GCF_014643615.1	8530	AddAB
GCF_003254175.1	6385	AddAB
GCF_014197915.1	6601	AddAB
GCF_003992675.1	8604	AddAB
GCF_004340665.1	7161	AddAB
GCF_900115185.1	8670	AddAB
GCF_004366715.1	8664	AddAB
GCF_002269385.1	8561	AddAB
GCF_900129935.1	7839	AddAB
GCF_900098925.1	4845	AddAB
GCF_006159205.1	8849	AddAB
GCF_000518545.1	6289	AddAB
GCF_000195635.1	6301	AddAB
GCF_900108275.1	6301	AddAB
GCF_001542405.1	6738	AddAB
GCF_900141715.1	8751	AddAB
GCF_003711845.1	7221	AddAB
GCF_003347665.1	6601	AddAB
GCF_902795365.1	6189	AddAB
GCF_000425305.1	8694	AddAB
GCF_009901525.1	8727	AddAB
GCF_013394595.1	8817	AddAB
GCF_900079775.1	6130	AddAB
GCF_900113325.1	7233	AddAB
GCF_003024155.1	8761	AddAB
GCF_000964225.1	6667	AddAB
GCF_013394655.1	8732	AddAB
GCF_001553225.1	6336	AddAB
GCF_003337735.1	6123	AddAB
GCF_003315135.1	6565	AddAB
GCF_005404815.1	7167	AddAB
GCF_902362795.1	7507	AddAB
GCF_000243235.1	8839	AddAB
GCF_900102145.1	5651	AddAB
GCF_900112595.1	7825	AddAB
GCF_007115095.1	7368	AddAB
GCF_001440395.1	6640	AddAB
GCF_902162175.1	6598	AddAB
GCF_900142245.1	7017	AddAB
GCF_900100345.1	7681	AddAB
GCF_002744755.1	9059	AddAB
GCF_004346845.1	8680	AddAB
GCF_900101475.1	6280	AddAB
GCF_900167515.1	7185	AddAB
GCF_003431825.1	6469	AddAB
GCF_005925345.1	6349	AddAB
GCF_900141935.1	8595	AddAB
GCF_003253705.1	6397	AddAB
GCF_900098925.1	4845	AddAB
GCF_900098925.1	9765	AddAB
GCF_014196715.1	6250	AddAB
GCF_004346195.1	6492	AddAB
GCF_000423785.1	7227	AddAB
GCF_900220965.1	7227	AddAB
GCF_003201975.1	7232	AddAB
GCF_003003355.1	6328	AddAB
GCF_003149745.1	8577	AddAB
GCF_900111155.1	6094	AddAB
GCF_900111795.1	7101	AddAB
GCF_000701445.1	6544	AddAB
GCF_900217815.1	6307	AddAB
GCF_009674825.1	8609	AddAB
GCF_008123425.1	6649	AddAB
GCF_000159995.1	5899	AddAB
GCF_003385115.1	8831	AddAB
GCF_001434515.1	7099	AddAB
GCF_900167935.1	8565	AddAB
GCF_000745965.1	6399	AddAB
GCF_002251835.1	8746	AddAB
GCF_003096815.1	6411	AddAB
GCF_003985145.1	6738	AddAB
GCF_900101705.1	6051	AddAB
GCF_900111285.1	7213	AddAB
GCF_003050785.1	6345	AddAB
GCF_900198465.1	7480	AddAB
GCF_001461035.1	6936	AddAB
GCF_000373085.1	6094	AddAB
GCF_000831385.1	8677	AddAB
GCF_003290025.1	6262	AddAB
GCF_011762225.1	6778	AddAB
GCF_900098925.1	9765	AddAB
GCF_003581615.1	8611	AddAB
GCF_013402795.1	8589	AddAB
GCF_015558615.1	7006	AddAB
GCF_900129445.1	8744	AddAB
GCF_001439925.1	7212	AddAB
GCF_007830065.1	6366	AddAB
GCF_001887185.1	7254	AddAB
GCF_003217515.1	5068	AddAB
GCF_000379965.1	6124	AddAB
GCF_000429465.1	6079	AddAB
GCF_001950255.1	6726	AddAB
GCF_000425645.1	8967	AddAB
GCF_001020565.1	8557	AddAB
GCF_900100785.1	7782	AddAB
GCF_900065875.1	6226	AddAB
GCF_902374385.1	6552	AddAB
GCF_004340685.1	6831	AddAB
GCF_002994045.1	8695	AddAB
GCF_900109325.1	7414	AddAB
GCF_900141845.1	7236	AddAB
GCF_003863335.1	6268	AddAB
GCF_002217285.1	8834	AddAB
GCF_900107625.1	8888	AddAB
GCF_001437125.1	7371	AddAB
GCF_002796795.1	6283	AddAB
GCF_900103835.1	6903	AddAB
GCF_015560805.1	7216	AddAB
GCF_900167445.1	7005	AddAB
GCF_014596975.1	8939	AddAB
GCF_900142175.1	8570	AddAB
GCF_001887185.1	7783	AddAB
GCF_014640615.1	6643	AddAB
GCF_014644195.1	6485	AddAB
GCF_000312445.1	6080	AddAB
GCF_003317055.1	7061	AddAB
GCF_003268815.1	8666	AddAB
GCF_000423105.1	7235	AddAB
GCF_900639915.1	12471	AddAB
GCF_900177645.1	8007	AddAB
GCF_001435195.1	7296	AddAB
GCF_003208435.1	6304	AddAB
GCF_014596935.1	8940	AddAB
GCF_003966335.1	8683	AddAB
GCF_002441695.1	6972	AddAB
GCF_009711055.1	8770	AddAB
GCF_900112245.1	8567	AddAB
GCF_000023465.1	8760	AddAB
GCF_003008425.1	8722	AddAB
GCF_001310225.1	7651	AddAB
GCF_001887185.1	6180	AddAB
GCF_001887185.1	14451	AddAB
GCF_003148775.1	6363	AddAB
GCF_004364165.1	8568	AddAB
GCF_001435245.1	6867	AddAB
GCF_900177735.1	6294	AddAB
