AssemblyAccession	Phylum	TotalRepairSystems	TotalDefenseSystems	AddA	AddB	RecA	RecD	RecF	RecJ	RecO	RecQ	RecR	SSBa	RecB	RecC	AdnA	AdnB	AbiH	AbiR	Gao_Her	Lamassu-Fam	PD-Lambda-1	PD-T4-7	RM	Tiamat	Cas	RloC	SoFIC	pAgo	Abi2	AbiJ	AbiU	dCTPdeaminase	dGTPase	Hachiman	Gabija	SEFIR	Viperin	AbiE	Stk2	CBASS	DarTG	Eleos	GAPS1	MazEF	PD-T7-2	PfiAT	PsyrTA	SanaTA	ISG15-like	PD-T7-1	PrrC	Wadjet	Shedu	AbiL	Dnd	Retron	Shango	Thoeris	Butters_gp30_gp31	Kiwa	DISARM	BREX	AbiD	DRT	Gao_Iet	Rst_TIR-NLR	Septu	CapRel	Druantia	Zorya	Olokun	PD-T7-4	Dodola	Gao_TerY	Paris	RosmerTA	Gao_Ppl	PD-T4-3	Rst_HelicaseDUF2290	Borvo	Rst_3HP	Mokosh	Hna	Dsr	RADAR	SspBCDE	Dazbog	GAPS2	PD-T7-5	CARD_NLR	AbiC	Dpd	Old_exonuclease	ShosTA	Gao_Qat	Azaca	Menshen	Gao_Tmn	Avs	AbiZ	Gao_RL	PD-Lambda-5	Detocs	Pycsar	BstA	NLR	Bunzi	FS_HP	Gao_Ape	PD-Lambda-2	Uzume	Rst_gop_beta_cll	JukAB	PD-T4-9	GasderMIN	Lit	PD-T4-5	AbiV	AbiP2	RnlAB	AbiQ	Gao_Upx	Gao_Hhe	GAPS4	PD-T4-6	SpbK	GAPS6	PD-Lambda-6	PD-T4-8	Rst_DUF4238	PD-T7-3	DdmDE	Nhi	Charlie_gp32	PD-T4-1	MqsRAC	MADS	FS_GIY_YIG	PD-T4-10	Aditi	AbiA	AbiO	PD-T4-4	AbiN	Mok_Hok_Sok	AbiK	Phrann_gp29_gp30	FS_HsdR_like	Rst_Hydrolase-3Tm	AbiB	PD-T4-2	AbiT	FS_Sma	PD-Lambda-4	AbiG	Pif	Rst_RT-nitrilase-Tm	Panchino_gp28	NixI	PD-Lambda-3	Gao_Mza	Butters_gp57r	RexAB	MMB_gp29_gp30	Rst_2TM_1TM_TIR	FS_HP_SDH_sah	AbiI
GCF_000005825.2	Bacillota	20	9	1	1	1	1	1	1	1	8	1	4	0	0	0	0	1	1	1	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000006985.1	Chlorobiota	13	7	0	0	1	2	1	1	1	2	1	2	1	1	0	0	0	0	0	0	0	0	3	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000007085.1	Bacillota	11	3	1	1	0	2	1	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000007705.1	Pseudomonadota	14	5	0	0	1	1	0	1	1	6	1	1	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000007745.1	Pseudomonadota	12	6	0	0	1	1	1	1	1	3	1	1	1	1	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000007905.1	Pseudomonadota	8	6	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000008185.1	Spirochaetota	13	9	1	1	1	0	1	1	1	4	1	2	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000008365.1	Mycoplasmatota	6	6	0	0	1	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000008465.1	Pseudomonadota	14	6	0	0	1	1	1	1	1	5	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000008625.1	Aquificota	4	4	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
