AssemblyAccession	GenomeSize	ProteinCount
GCF_000005825.2	4249248	4134
GCF_000005845.2	4641652	4242
GCF_000006685.1	1080451	893
GCF_000006765.1	6264404	5572
GCF_000006925.2	4828820	4313
GCF_000006945.2	4951383	4548
GCF_000006985.1	2154946	1951
GCF_000007025.1	1268755	1269
GCF_000007085.1	2689445	2482
GCF_000007105.1	2056363	1726
GCF_000007125.1	3294931	2912
GCF_000007205.1	1225935	1053
GCF_000007245.1	2521148	2108
GCF_000007485.1	927303	839
GCF_000007505.1	3315175	2982
GCF_000007605.1	1181356	985
GCF_000007625.1	2873333	2736
GCF_000007705.1	4751080	4317
GCF_000007725.1	618379	520
GCF_000007745.1	2314078	2064
GCF_000007765.2	2032807	1833
GCF_000007805.1	6538260	5576
GCF_000007905.1	1799146	1769
GCF_000007925.1	1751080	1845
GCF_000007985.2	3814128	3403
GCF_000008185.1	2843201	2509
GCF_000008305.1	793224	683
GCF_000008325.1	3304561	2964
GCF_000008345.1	2560265	2315
GCF_000008365.1	777079	649
GCF_000008445.1	5503926	5308
GCF_000008465.1	2839318	2639
GCF_000008625.1	1590791	1693
GCF_000008725.1	1042519	887
GCF_000008865.2	5594605	5155
GCF_000009045.1	4215606	4237
GCF_000009085.1	1641481	1572
GCF_000009145.1	2812094	2525
GCF_000009305.1	1557588	1362
GCF_000009365.1	3120143	2750
GCF_000009625.1	7596297	7057
GCF_000009765.2	9119895	7514
GCF_000009785.1	3592666	3345
GCF_000009805.1	6292344	5888
GCF_000009905.1	3566135	3226
GCF_000009945.1	1173791	969
GCF_000009985.1	4967148	4562
GCF_000010085.1	4292502	3452
GCF_000010265.1	3955303	3760
GCF_000010305.1	4636964	3949
GCF_000010505.1	2354886	1891
GCF_000010525.1	5369772	4772
GCF_000010605.1	8545929	6968
GCF_000010625.1	5842795	4995
GCF_000010665.1	5315620	4570
GCF_000010985.1	2542933	2457
GCF_000011145.1	4202352	3954
GCF_000011225.1	1358633	1004
GCF_000011245.1	3630528	3465
GCF_000011305.1	3219505	2804
GCF_000011345.1	2593857	2446
GCF_000011385.1	4659019	4494
GCF_000011645.1	4222597	4160
GCF_000011965.2	4601048	4346
GCF_000012085.2	1165365	1070
GCF_000012305.1	2650701	2106
GCF_000012325.1	5373180	4398
GCF_000012365.1	6723972	5656
GCF_000012385.1	1522076	1400
GCF_000012405.1	3642249	3066
GCF_000012425.1	4501104	4214
GCF_000012485.1	2364842	2114
GCF_000012525.1	2742269	2696
GCF_000012565.1	1315030	934
GCF_000012585.1	2572079	2049
GCF_000012605.1	2427734	2246
GCF_000012665.1	3730232	3228
GCF_000012685.1	9139763	7188
GCF_000012725.1	3402093	3005
GCF_000012765.1	1010023	802
GCF_000012805.1	3522111	3140
GCF_000012825.1	5163189	3950
GCF_000012865.1	2401520	2432
GCF_000012885.1	3665893	3155
GCF_000012925.1	4011182	3562
GCF_000012965.1	2201561	2145
GCF_000012985.1	7215267	6245
GCF_000013025.1	3705021	3474
GCF_000013165.1	859006	743
GCF_000013285.1	3256683	2818
GCF_000013325.1	4233314	3973
GCF_000013345.1	5433628	4353
GCF_000013405.1	3179300	2826
GCF_000013425.1	2821361	2767
GCF_000013605.1	4969784	4496
GCF_000013645.1	9731138	8412
GCF_000013665.1	5057531	4055
GCF_000013705.1	2971517	2761
GCF_000013765.1	4545906	3765
GCF_000013885.1	5011522	4406
GCF_000013905.1	3101097	2511
GCF_000013985.1	3373713	3206
GCF_000014125.1	2547720	2277
GCF_000014145.1	4433218	3664
GCF_000014185.1	3225748	3243
GCF_000014265.1	7750108	4804
GCF_000014425.1	1894360	1732
GCF_000014505.1	1832387	1719
GCF_000014705.1	4845257	3994
GCF_000014725.1	2936195	2562
GCF_000014785.1	3275944	2867
GCF_000014865.1	4719581	3706
GCF_000014885.1	5396476	4390
